Infinitive,нае́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,нае́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нае́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,нае́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,нае́ду
2nd Sing,нае́дешь
3rd Sing,нае́дет
1st Pl,нае́дем
2nd Pl,нае́дете
3rd Pl,нае́дут
Past M,нае́хал
Past F,нае́хала
Past N,нае́хало
Past PL,нае́хали
Imp S,наезжа́й
Imp PL,наезжа́йте
