Infinitive,настра́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,настра́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,настра́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,настра́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,настра́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,настра́иваюсь
2nd Sing,настра́иваешься
3rd Sing,настра́ивается
1st Pl,настра́иваемся
2nd Pl,настра́иваетесь
3rd Pl,настра́иваются
Past M,настра́ивался
Past F,настра́ивалась
Past N,настра́ивалось
Past PL,настра́ивались
Imp S,настра́ивайся
Imp PL,настра́ивайтесь
