Infinitive,намо́рщить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,намо́рщивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,намо́рщенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,намо́рщив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,намо́рщивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,намо́рщу
2nd Sing,намо́рщишь
3rd Sing,намо́рщит
1st Pl,намо́рщим
2nd Pl,намо́рщите
3rd Pl,намо́рщат
Past M,намо́рщил
Past F,намо́рщила
Past N,намо́рщило
Past PL,намо́рщили
Imp S,намо́рщи
Imp PL,намо́рщьте
