Infinitive,настуча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,настуча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,настуча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,настуча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,настучу́
2nd Sing,настучи́шь
3rd Sing,настучи́т
1st Pl,настучи́м
2nd Pl,настучи́те
3rd Pl,настуча́т
Past M,настуча́л
Past F,настуча́ла
Past N,настуча́ло
Past PL,настуча́ли
Imp S,настучи́
Imp PL,настучи́те
