Infinitive,находи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,находя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,находи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,находя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,находи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нахожу́сь
2nd Sing,нахо́дишься
3rd Sing,нахо́дится
1st Pl,нахо́димся
2nd Pl,нахо́дитесь
3rd Pl,нахо́дятся
Past M,находи́лся
Past F,находи́лась
Past N,находи́лось
Past PL,находи́лись
Imp S,находи́сь
Imp PL,находи́тесь
