Infinitive,накра́пывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,накра́пывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,накра́пывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накра́пывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,накра́пывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,накра́пывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,накра́пываю
2nd Sing,накра́пываешь
3rd Sing,накра́пывает
1st Pl,накра́пываем
2nd Pl,накра́пываете
3rd Pl,накра́пывают
Past M,накра́пывал
Past F,накра́пывала
Past N,накра́пывало
Past PL,накра́пывали
Imp S,накра́пывай
Imp PL,накра́пывайте
