Infinitive,нама́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нама́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нама́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нама́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нама́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нама́жу
2nd Sing,нама́жешь
3rd Sing,нама́жет
1st Pl,нама́жем
2nd Pl,нама́жете
3rd Pl,нама́жут
Past M,нама́зал
Past F,нама́зала
Past N,нама́зало
Past PL,нама́зали
Imp S,нама́жь
Imp PL,нама́жьте
