Infinitive,наклони́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наклони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наклонённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наклони́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наклони́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наклоню́
2nd Sing,накло́нишь
3rd Sing,накло́нит
1st Pl,накло́ним
2nd Pl,накло́ните
3rd Pl,накло́нят
Past M,наклони́л
Past F,наклони́ла
Past N,наклони́ло
Past PL,наклони́ли
Imp S,наклони́
Imp PL,наклони́те
