Infinitive,направля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,направля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,направля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,направля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,направля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,направля́юсь
2nd Sing,направля́ешься
3rd Sing,направля́ется
1st Pl,направля́емся
2nd Pl,направля́етесь
3rd Pl,направля́ются
Past M,направля́лся
Past F,направля́лась
Past N,направля́лось
Past PL,направля́лись
Imp S,направля́йся
Imp PL,направля́йтесь
