Infinitive,начини́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,начини́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,начинённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,начини́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,начини́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,начиню́
2nd Sing,начини́шь
3rd Sing,начини́т
1st Pl,начини́м
2nd Pl,начини́те
3rd Pl,начиня́т
Past M,начини́л
Past F,начини́ла
Past N,начини́ло
Past PL,начини́ли
Imp S,начини́
Imp PL,начини́те
