Infinitive,навяза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,навяза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,навя́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,навяза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,навяза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,навяжу́
2nd Sing,навя́жешь
3rd Sing,навя́жет
1st Pl,навя́жем
2nd Pl,навя́жете
3rd Pl,навя́жут
Past M,навяза́л
Past F,навяза́ла
Past N,навяза́ло
Past PL,навяза́ли
Imp S,навяжи́
Imp PL,навяжи́те
