Infinitive,нарва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нарва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нарва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нарву́сь
2nd Sing,нарвёшься
3rd Sing,нарвётся
1st Pl,нарвёмся
2nd Pl,нарвётесь
3rd Pl,нарву́тся
Past M,нарва́лся
Past F,нарвала́сь
Past N,нарвало́сь
Past PL,нарвали́сь
Imp S,нарви́сь
Imp PL,нарви́тесь
