Infinitive,наплева́ть
Zaliznyak Class,2b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наплева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наплёванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наплева́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наплева́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наплюю́
2nd Sing,наплюёшь
3rd Sing,наплюёт
1st Pl,наплюём
2nd Pl,наплюёте
3rd Pl,наплюю́т
Past M,наплева́л
Past F,наплева́ла
Past N,наплева́ло
Past PL,наплева́ли
Imp S,наплю́й
Imp PL,наплю́йте
