Infinitive,наре́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наре́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наречённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наре́кши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,нареку́
2nd Sing,наречёшь
3rd Sing,наречёт
1st Pl,наречём
2nd Pl,наречёте
3rd Pl,нареку́т
Past M,нарёк
Past F,нарекла́
Past N,нарекло́
Past PL,нарекли́
Imp S,нареки́
Imp PL,нареки́те
