Infinitive,наме́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наме́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наме́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наме́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наме́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наме́чу
2nd Sing,наме́тишь
3rd Sing,наме́тит
1st Pl,наме́тим
2nd Pl,наме́тите
3rd Pl,наме́тят
Past M,наме́тил
Past F,наме́тила
Past N,наме́тило
Past PL,наме́тили
Imp S,наме́ть
Imp PL,наме́тьте
