Infinitive,наслади́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наслади́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наслади́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наслажу́сь
2nd Sing,наслади́шься
3rd Sing,наслади́тся
1st Pl,наслади́мся
2nd Pl,наслади́тесь
3rd Pl,насладя́тся
Past M,наслади́лся
Past F,наслади́лась
Past N,наслади́лось
Past PL,наслади́лись
Imp S,наслади́сь
Imp PL,наслади́тесь
