Infinitive,наре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наре́жу
2nd Sing,наре́жешь
3rd Sing,наре́жет
1st Pl,наре́жем
2nd Pl,наре́жете
3rd Pl,наре́жут
Past M,наре́зал
Past F,наре́зала
Past N,наре́зало
Past PL,наре́зали
Imp S,наре́жь
Imp PL,наре́жьте
