Infinitive,нагну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нагну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нагну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нагну́сь
2nd Sing,нагнёшься
3rd Sing,нагнётся
1st Pl,нагнёмся
2nd Pl,нагнётесь
3rd Pl,нагну́тся
Past M,нагну́лся
Past F,нагну́лась
Past N,нагну́лось
Past PL,нагну́лись
Imp S,нагни́сь
Imp PL,нагни́тесь
