Infinitive,напо́лнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напо́лнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напо́лненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напо́лнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,напо́лнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напо́лню
2nd Sing,напо́лнишь
3rd Sing,напо́лнит
1st Pl,напо́лним
2nd Pl,напо́лните
3rd Pl,напо́лнят
Past M,напо́лнил
Past F,напо́лнила
Past N,напо́лнило
Past PL,напо́лнили
Imp S,напо́лни
Imp PL,напо́лните
