Infinitive,нала́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нала́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нала́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нала́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нала́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нала́жу
2nd Sing,нала́дишь
3rd Sing,нала́дит
1st Pl,нала́дим
2nd Pl,нала́дите
3rd Pl,нала́дят
Past M,нала́дил
Past F,нала́дила
Past N,нала́дило
Past PL,нала́дили
Imp S,нала́дь
Imp PL,нала́дьте
