Infinitive,наступи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,наступи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наступи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,наступи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,наступлю́
2nd Sing,насту́пишь
3rd Sing,насту́пит
1st Pl,насту́пим
2nd Pl,насту́пите
3rd Pl,насту́пят
Past M,наступи́л
Past F,наступи́ла
Past N,наступи́ло
Past PL,наступи́ли
Imp S,наступи́
Imp PL,наступи́те
