Infinitive,набира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,набира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,набира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,набира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,набира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,набира́юсь
2nd Sing,набира́ешься
3rd Sing,набира́ется
1st Pl,набира́емся
2nd Pl,набира́етесь
3rd Pl,набира́ются
Past M,набира́лся
Past F,набира́лась
Past N,набира́лось
Past PL,набира́лись
Imp S,набира́йся
Imp PL,набира́йтесь
