Infinitive,наброса́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наброса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,набро́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наброса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наброса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наброса́ю
2nd Sing,наброса́ешь
3rd Sing,наброса́ет
1st Pl,наброса́ем
2nd Pl,наброса́ете
3rd Pl,наброса́ют
Past M,наброса́л
Past F,наброса́ла
Past N,наброса́ло
Past PL,наброса́ли
Imp S,наброса́й
Imp PL,наброса́йте
