Infinitive,навя́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,навя́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,навя́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,навя́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,навя́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,навя́зываюсь
2nd Sing,навя́зываешься
3rd Sing,навя́зывается
1st Pl,навя́зываемся
2nd Pl,навя́зываетесь
3rd Pl,навя́зываются
Past M,навя́зывался
Past F,навя́зывалась
Past N,навя́зывалось
Past PL,навя́зывались
Imp S,навя́зывайся
Imp PL,навя́зывайтесь
