Infinitive,накры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,накры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,накры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,накры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накро́ю
2nd Sing,накро́ешь
3rd Sing,накро́ет
1st Pl,накро́ем
2nd Pl,накро́ете
3rd Pl,накро́ют
Past M,накры́л
Past F,накры́ла
Past N,накры́ло
Past PL,накры́ли
Imp S,накро́й
Imp PL,накро́йте
