Infinitive,нача́ться
Zaliznyak Class,14b/b*
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нача́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нача́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,начну́сь
2nd Sing,начнёшься
3rd Sing,начнётся
1st Pl,начнёмся
2nd Pl,начнётесь
3rd Pl,начну́тся
Past M,начался́
Past F,начала́сь
Past N,начало́сь
Past PL,начали́сь
Imp S,начни́сь
Imp PL,начни́тесь
