Infinitive,напоро́ться
Zaliznyak Class,10c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,напоро́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напоро́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,напорю́сь
2nd Sing,напо́решься
3rd Sing,напо́рется
1st Pl,напо́ремся
2nd Pl,напо́ретесь
3rd Pl,напо́рются
Past M,напоро́лся
Past F,напоро́лась
Past N,напоро́лось
Past PL,напоро́лись
Imp S,напори́сь
Imp PL,напори́тесь
