Infinitive,насади́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,насади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наса́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насади́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,насади́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,насажу́
2nd Sing,наса́дишь
3rd Sing,наса́дит
1st Pl,наса́дим
2nd Pl,наса́дите
3rd Pl,наса́дят
Past M,насади́л
Past F,насади́ла
Past N,насади́ло
Past PL,насади́ли
Imp S,насади́
Imp PL,насади́те
