Infinitive,настро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,настро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,настро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,настро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,настро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,настро́ю
2nd Sing,настро́ишь
3rd Sing,настро́ит
1st Pl,настро́им
2nd Pl,настро́ите
3rd Pl,настро́ят
Past M,настро́ил
Past F,настро́ила
Past N,настро́ило
Past PL,настро́или
Imp S,настро́й
Imp PL,настро́йте
