Infinitive,нажра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нажра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нажра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нажру́сь
2nd Sing,нажрёшься
3rd Sing,нажрётся
1st Pl,нажрёмся
2nd Pl,нажрётесь
3rd Pl,нажру́тся
Past M,нажра́лся
Past F,нажрала́сь
Past N,нажрало́сь
Past PL,нажрали́сь
Imp S,нажри́сь
Imp PL,нажри́тесь
