Infinitive,наклони́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наклони́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наклони́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наклоню́сь
2nd Sing,накло́нишься
3rd Sing,накло́нится
1st Pl,накло́нимся
2nd Pl,накло́нитесь
3rd Pl,накло́нятся
Past M,наклони́лся
Past F,наклони́лась
Past N,наклони́лось
Past PL,наклони́лись
Imp S,наклони́сь
Imp PL,наклони́тесь
