Infinitive,напра́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,напра́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напра́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,напра́влюсь
2nd Sing,напра́вишься
3rd Sing,напра́вится
1st Pl,напра́вимся
2nd Pl,напра́витесь
3rd Pl,напра́вятся
Past M,напра́вился
Past F,напра́вилась
Past N,напра́вилось
Past PL,напра́вились
Imp S,напра́вься
Imp PL,напра́вьтесь
