Infinitive,нахлы́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,нахлы́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нахлы́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,нахлы́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,нахлы́ну
2nd Sing,нахлы́нешь
3rd Sing,нахлы́нет
1st Pl,нахлы́нем
2nd Pl,нахлы́нете
3rd Pl,нахлы́нут
Past M,нахлы́нул
Past F,нахлы́нула
Past N,нахлы́нуло
Past PL,нахлы́нули
Imp S,нахлы́нь
Imp PL,нахлы́ньте
