Infinitive,нагиба́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нагиба́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нагиба́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нагиба́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нагиба́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нагиба́юсь
2nd Sing,нагиба́ешься
3rd Sing,нагиба́ется
1st Pl,нагиба́емся
2nd Pl,нагиба́етесь
3rd Pl,нагиба́ются
Past M,нагиба́лся
Past F,нагиба́лась
Past N,нагиба́лось
Past PL,нагиба́лись
Imp S,нагиба́йся
Imp PL,нагиба́йтесь
