Infinitive,научи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,научи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,научи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,научу́сь
2nd Sing,нау́чишься
3rd Sing,нау́чится
1st Pl,нау́чимся
2nd Pl,нау́читесь
3rd Pl,нау́чатся
Past M,научи́лся
Past F,научи́лась
Past N,научи́лось
Past PL,научи́лись
Imp S,научи́сь
Imp PL,научи́тесь
