Infinitive,набра́сываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,набра́сывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,набра́сывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,набра́сываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,набра́сывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,набра́сываюсь
2nd Sing,набра́сываешься
3rd Sing,набра́сывается
1st Pl,набра́сываемся
2nd Pl,набра́сываетесь
3rd Pl,набра́сываются
Past M,набра́сывался
Past F,набра́сывалась
Past N,набра́сывалось
Past PL,набра́сывались
Imp S,набра́сывайся
Imp PL,набра́сывайтесь
