Infinitive,напива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,напива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,напива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,напива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напива́юсь
2nd Sing,напива́ешься
3rd Sing,напива́ется
1st Pl,напива́емся
2nd Pl,напива́етесь
3rd Pl,напива́ются
Past M,напива́лся
Past F,напива́лась
Past N,напива́лось
Past PL,напива́лись
Imp S,напива́йся
Imp PL,напива́йтесь
