Infinitive,насу́пить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,насу́пивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,насу́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насу́пив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,насу́пивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,насу́плю
2nd Sing,насу́пишь
3rd Sing,насу́пит
1st Pl,насу́пим
2nd Pl,насу́пите
3rd Pl,насу́пят
Past M,насу́пил
Past F,насу́пила
Past N,насу́пило
Past PL,насу́пили
Imp S,насу́пь
Imp PL,насу́пьте
