Infinitive,наскочи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,наскочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наскочи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,наскочи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,наскочу́
2nd Sing,наско́чишь
3rd Sing,наско́чит
1st Pl,наско́чим
2nd Pl,наско́чите
3rd Pl,наско́чат
Past M,наскочи́л
Past F,наскочи́ла
Past N,наскочи́ло
Past PL,наскочи́ли
Imp S,наскочи́
Imp PL,наскочи́те
