Infinitive,намо́кнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,намо́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,намо́кши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,намо́кну
2nd Sing,намо́кнешь
3rd Sing,намо́кнет
1st Pl,намо́кнем
2nd Pl,намо́кнете
3rd Pl,намо́кнут
Past M,намо́к
Past F,намо́кла
Past N,намо́кло
Past PL,намо́кли
Imp S,намо́кни
Imp PL,намо́кните
