Infinitive,натыка́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,натыка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,натыка́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,натыка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,натыка́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,натыка́юсь
2nd Sing,натыка́ешься
3rd Sing,натыка́ется
1st Pl,натыка́емся
2nd Pl,натыка́етесь
3rd Pl,натыка́ются
Past M,натыка́лся
Past F,натыка́лась
Past N,натыка́лось
Past PL,натыка́лись
Imp S,натыка́йся
Imp PL,натыка́йтесь
