Infinitive,набе́гать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,набе́гавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,набе́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,набе́гав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,набе́гавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,набе́гаю
2nd Sing,набе́гаешь
3rd Sing,набе́гает
1st Pl,набе́гаем
2nd Pl,набе́гаете
3rd Pl,набе́гают
Past M,набе́гал
Past F,набе́гала
Past N,набе́гало
Past PL,набе́гали
Imp S,набе́гай
Imp PL,набе́гайте
