Infinitive,нагна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нагна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,на́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нагна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нагна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нагоню́
2nd Sing,наго́нишь
3rd Sing,наго́нит
1st Pl,наго́ним
2nd Pl,наго́ните
3rd Pl,наго́нят
Past M,нагна́л
Past F,нагнала́
Past N,нагна́ло
Past PL,нагна́ли
Imp S,нагони́
Imp PL,нагони́те
