Infinitive,наслажда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наслажда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наслажда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наслажда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наслажда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наслажда́юсь
2nd Sing,наслажда́ешься
3rd Sing,наслажда́ется
1st Pl,наслажда́емся
2nd Pl,наслажда́етесь
3rd Pl,наслажда́ются
Past M,наслажда́лся
Past F,наслажда́лась
Past N,наслажда́лось
Past PL,наслажда́лись
Imp S,наслажда́йся
Imp PL,наслажда́йтесь
