Infinitive,набра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,набра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,на́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,набра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,набра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наберу́
2nd Sing,наберёшь
3rd Sing,наберёт
1st Pl,наберём
2nd Pl,наберёте
3rd Pl,наберу́т
Past M,набра́л
Past F,набрала́
Past N,набра́ло
Past PL,набра́ли
Imp S,набери́
Imp PL,набери́те
