Infinitive,нака́пливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нака́пливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нака́пливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нака́пливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нака́пливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,нака́пливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,нака́пливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,нака́пливаю
2nd Sing,нака́пливаешь
3rd Sing,нака́пливает
1st Pl,нака́пливаем
2nd Pl,нака́пливаете
3rd Pl,нака́пливают
Past M,нака́пливал
Past F,нака́пливала
Past N,нака́пливало
Past PL,нака́пливали
Imp S,нака́пливай
Imp PL,нака́пливайте
