Infinitive,наскрести́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наскрёбший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наскребённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наскрёбши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,наскребу́
2nd Sing,наскребёшь
3rd Sing,наскребёт
1st Pl,наскребём
2nd Pl,наскребёте
3rd Pl,наскребу́т
Past M,наскрёб
Past F,наскребла́
Past N,наскребло́
Past PL,наскребли́
Imp S,наскреби́
Imp PL,наскреби́те
