Infinitive,накали́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,накали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,накали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,накалю́сь
2nd Sing,накали́шься
3rd Sing,накали́тся
1st Pl,накали́мся
2nd Pl,накали́тесь
3rd Pl,накаля́тся
Past M,накали́лся
Past F,накали́лась
Past N,накали́лось
Past PL,накали́лись
Imp S,накали́сь
Imp PL,накали́тесь
