Infinitive,наплести́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наплётший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наплетённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наплётши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,наплету́
2nd Sing,наплетёшь
3rd Sing,наплетёт
1st Pl,наплетём
2nd Pl,наплетёте
3rd Pl,наплету́т
Past M,наплёл
Past F,наплела́
Past N,наплело́
Past PL,наплели́
Imp S,наплети́
Imp PL,наплети́те
