Infinitive,напря́чься
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,напря́гшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напря́гшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,напрягу́сь
2nd Sing,напряжёшься
3rd Sing,напряжётся
1st Pl,напряжёмся
2nd Pl,напряжётесь
3rd Pl,напрягу́тся
Past M,напрёгся
Past F,напрягла́сь
Past N,напрягло́сь
Past PL,напрягли́сь
Imp S,напряги́сь
Imp PL,напряги́тесь
