Infinitive,нака́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нака́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нака́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нака́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нака́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нака́зываюсь
2nd Sing,нака́зываешься
3rd Sing,нака́зывается
1st Pl,нака́зываемся
2nd Pl,нака́зываетесь
3rd Pl,нака́зываются
Past M,нака́зывался
Past F,нака́зывалась
Past N,нака́зывалось
Past PL,нака́зывались
Imp S,нака́зывайся
Imp PL,нака́зывайтесь
