Infinitive,накорми́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,накорми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нако́рмленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накорми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,накорми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накормлю́
2nd Sing,нако́рмишь
3rd Sing,нако́рмит
1st Pl,нако́рмим
2nd Pl,нако́рмите
3rd Pl,нако́рмят
Past M,накорми́л
Past F,накорми́ла
Past N,накорми́ло
Past PL,накорми́ли
Imp S,накорми́
Imp PL,накорми́те
