Infinitive,нала́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нала́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нала́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нала́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нала́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нала́живаюсь
2nd Sing,нала́живаешься
3rd Sing,нала́живается
1st Pl,нала́живаемся
2nd Pl,нала́живаетесь
3rd Pl,нала́живаются
Past M,нала́живался
Past F,нала́живалась
Past N,нала́живалось
Past PL,нала́живались
Imp S,нала́живайся
Imp PL,нала́живайтесь
