Infinitive,надое́сть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,надое́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,надое́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,надое́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,надое́м
2nd Sing,надое́шь
3rd Sing,надое́ст
1st Pl,надоеди́м
2nd Pl,надоеди́те
3rd Pl,надоедя́т
Past M,надое́л
Past F,надое́ла
Past N,надое́ло
Past PL,надое́ли
Imp S,надое́шь
Imp PL,надое́шьте
