Infinitive,начита́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,начита́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,начита́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,начита́юсь
2nd Sing,начита́ешься
3rd Sing,начита́ется
1st Pl,начита́емся
2nd Pl,начита́етесь
3rd Pl,начита́ются
Past M,начита́лся
Past F,начита́лась
Past N,начита́лось
Past PL,начита́лись
Imp S,начита́йся
Imp PL,начита́йтесь
