Infinitive,накры́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,накры́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,накры́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,накро́юсь
2nd Sing,накро́ешься
3rd Sing,накро́ется
1st Pl,накро́емся
2nd Pl,накро́етесь
3rd Pl,накро́ются
Past M,накры́лся
Past F,накры́лась
Past N,накры́лось
Past PL,накры́лись
Imp S,накро́йся
Imp PL,накро́йтесь
