Infinitive,напря́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напря́гший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напряжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напря́гши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,напрягу́
2nd Sing,напряжёшь
3rd Sing,напряжёт
1st Pl,напряжём
2nd Pl,напряжёте
3rd Pl,напрягу́т
Past M,напрёг
Past F,напрягла́
Past N,напрягло́
Past PL,напрягли́
Imp S,напряги́
Imp PL,напряги́те
