Infinitive,наслу́шаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наслу́шавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наслу́шавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наслу́шаюсь
2nd Sing,наслу́шаешься
3rd Sing,наслу́шается
1st Pl,наслу́шаемся
2nd Pl,наслу́шаетесь
3rd Pl,наслу́шаются
Past M,наслу́шался
Past F,наслу́шалась
Past N,наслу́шалось
Past PL,наслу́шались
Imp S,наслу́шайся
Imp PL,наслу́шайтесь
