Infinitive,накрахма́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,накрахма́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,накрахма́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накрахма́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,накрахма́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накрахма́лю
2nd Sing,накрахма́лишь
3rd Sing,накрахма́лит
1st Pl,накрахма́лим
2nd Pl,накрахма́лите
3rd Pl,накрахма́лят
Past M,накрахма́лил
Past F,накрахма́лила
Past N,накрахма́лило
Past PL,накрахма́лили
Imp S,накрахма́ль
Imp PL,накрахма́льте
