Infinitive,напа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,напа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,напа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,нападу́
2nd Sing,нападёшь
3rd Sing,нападёт
1st Pl,нападём
2nd Pl,нападёте
3rd Pl,нападу́т
Past M,напа́л
Past F,напа́ла
Past N,напа́ло
Past PL,напа́ли
Imp S,напади́
Imp PL,напади́те
