Infinitive,надели́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,надели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наделённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,надели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,надели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наделю́
2nd Sing,надели́шь
3rd Sing,надели́т
1st Pl,надели́м
2nd Pl,надели́те
3rd Pl,наделя́т
Past M,надели́л
Past F,надели́ла
Past N,надели́ло
Past PL,надели́ли
Imp S,надели́
Imp PL,надели́те
