Infinitive,насы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,насы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,насы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,насы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,насы́плю
2nd Sing,насы́плешь
3rd Sing,насы́плет
1st Pl,насы́плем
2nd Pl,насы́плете
3rd Pl,насы́плют
Past M,насы́пал
Past F,насы́пала
Past N,насы́пало
Past PL,насы́пали
Imp S,насы́пь
Imp PL,насы́пьте
