Infinitive,насу́питься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,насу́пившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,насу́пившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,насу́плюсь
2nd Sing,насу́пишься
3rd Sing,насу́пится
1st Pl,насу́пимся
2nd Pl,насу́питесь
3rd Pl,насу́пятся
Past M,насу́пился
Past F,насу́пилась
Past N,насу́пилось
Past PL,насу́пились
Imp S,насу́пься
Imp PL,насу́пьтесь
