Infinitive,надви́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,надви́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,надви́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,надви́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,надви́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,надви́ну
2nd Sing,надви́нешь
3rd Sing,надви́нет
1st Pl,надви́нем
2nd Pl,надви́нете
3rd Pl,надви́нут
Past M,надви́нул
Past F,надви́нула
Past N,надви́нуло
Past PL,надви́нули
Imp S,надви́нь
Imp PL,надви́ньте
